LP;Zawodnik;AVG - zawodnik;Przeciwnik;AVG - przeciwnik;Wynik;Faza;Turniej;Data
1;Gino Vos;;Wayne Jones;;"6;3";L64;Austrian Darts Open;27.04.2012
2;Mark Walsh;;Brian Woods;;"6;1";L64;Austrian Darts Open;27.04.2012
3;Mark Webster;;Jelle Klaasen;;"6;3";L64;Austrian Darts Open;27.04.2012
4;Colin Lloyd;;Ian White;;"6;3";L64;Austrian Darts Open;27.04.2012
5;Dean Winstanley;;Paul Nicholson;;"6;3";L64;Austrian Darts Open;27.04.2012
6;Wes Newton;;Boris Krcmar;;"6;4";L64;Austrian Darts Open;27.04.2012
7;Terry Jenkins;;Dietmar Burger;;"6;4";L64;Austrian Darts Open;27.04.2012
8;Vincent van der Voort;;Darren Webster;;"6;3";L64;Austrian Darts Open;27.04.2012
9;Alan Tabern;;Zoran Lerchbacher;;"6;2";L64;Austrian Darts Open;27.04.2012
10;Richie Burnett;;Michael Rosenauer;;"6;4";L64;Austrian Darts Open;27.04.2012
11;Peter Wright;;William O'Connor;;"6;1";L64;Austrian Darts Open;27.04.2012
12;Steve Beaton;;Mick Todd;;"6;3";L64;Austrian Darts Open;27.04.2012
13;Co Stompe;;Ross Smith;;"6;3";L64;Austrian Darts Open;27.04.2012
14;Joe Cullen;;Brendan Dolan;;"6;4";L64;Austrian Darts Open;27.04.2012
15;Steve Evans;;Steve Brown;;"6;2";L64;Austrian Darts Open;27.04.2012
16;Dave Chisnall;;Martin Kurecka;;"6;1";L64;Austrian Darts Open;27.04.2012
17;Gary Anderson;;Scott Rand;;"6;4";L64;Austrian Darts Open;27.04.2012
18;Simon Whitlock;;Mareno Michels;;"6;4";L64;Austrian Darts Open;27.04.2012
19;James Wade;;Prakash Jiwa;;"6;3";L64;Austrian Darts Open;27.04.2012
20;Andy Hamilton;;Roland Scholten;;"6;3";L64;Austrian Darts Open;27.04.2012
21;Raymond van Barneveld;;Arron Monk;;"6;4";L64;Austrian Darts Open;27.04.2012
22;Kevin Painter;;Johnny Haines;;"6;2";L64;Austrian Darts Open;27.04.2012
23;Michael van Gerwen;;Mervyn King;;"6;4";L64;Austrian Darts Open;27.04.2012
24;Justin Pipe;;Mensur Suljovic;;"6;2";L64;Austrian Darts Open;27.04.2012
25;Colin Osborne;;Richie Howson;;"6;4";L64;Austrian Darts Open;27.04.2012
26;Mark Dudbridge;;John Part;;"6;5";L64;Austrian Darts Open;27.04.2012
27;Denis Ovens;;John Scott;;"6;5";L64;Austrian Darts Open;27.04.2012
28;Michael Smith;;Jamie Caven;;"6;4";L64;Austrian Darts Open;27.04.2012
29;Kim Huybrechts;;Andy Smith;;"6;3";L64;Austrian Darts Open;27.04.2012
30;Jim Walker;;Ronnie Baxter;;"6;5";L64;Austrian Darts Open;27.04.2012
31;Mark Webster;100.2;Alan Tabern;89.25;"6;0";L32;Austrian Darts Open;28.04.2012
32;Mark Walsh;86.81;Michael Smith;90.0;"6;5";L32;Austrian Darts Open;28.04.2012
33;Justin Pipe;91.17;Gino Vos;83.36;"6;4";L32;Austrian Darts Open;28.04.2012
34;James Richardson;87.18;Peter Wright;83.42;"6;3";L32;Austrian Darts Open;28.04.2012
35;Wes Newton;97.0;Steve Evans;85.91;"6;2";L32;Austrian Darts Open;28.04.2012
36;Denis Ovens;84.94;Terry Jenkins;83.01;"6;3";L32;Austrian Darts Open;28.04.2012
37;Richie Burnett;87.76;Gareth Cousins;78.06;"6;3";L32;Austrian Darts Open;28.04.2012
38;Kim Huybrechts;90.18;Vincent van der Voort;79.48;"6;0";L32;Austrian Darts Open;28.04.2012
39;Dave Chisnall;96.28;Andy Hamilton;94.86;"6;4";L32;Austrian Darts Open;28.04.2012
40;Kevin Painter;80.92;Mark Dudbridge;78.27;"6;2";L32;Austrian Darts Open;28.04.2012
41;Gary Anderson;96.42;Co Stompe;89.75;"6;2";L32;Austrian Darts Open;28.04.2012
42;James Wade;91.24;Steve Beaton;91.11;"6;4";L32;Austrian Darts Open;28.04.2012
43;Michael van Gerwen;104.7;Colin Lloyd;91.79;"6;1";L32;Austrian Darts Open;28.04.2012
44;Dean Winstanley;96.92;Jim Walker;97.59;"6;5";L32;Austrian Darts Open;28.04.2012
45;Raymond van Barneveld;93.56;Colin Osborne;90.35;"6;4";L32;Austrian Darts Open;28.04.2012
46;Joe Cullen;93.63;Simon Whitlock;93.69;"6;4";L32;Austrian Darts Open;28.04.2012
47;Richie Burnett;97.34;Dean Winstanley;88.61;"6;3";L16;Austrian Darts Open;29.04.2012
48;Raymond van Barneveld;102.57;Mark Webster;86.97;"6;2";L16;Austrian Darts Open;29.04.2012
49;Joe Cullen;97.99;Mark Walsh;86.09;"6;4";L16;Austrian Darts Open;29.04.2012
50;Justin Pipe;100.17;Gary Anderson;91.42;"6;2";L16;Austrian Darts Open;29.04.2012
51;James Richardson;90.6;Michael van Gerwen;89.29;"6;5";L16;Austrian Darts Open;29.04.2012
52;Dave Chisnall;113.09;Kevin Painter;92.52;"6;3";L16;Austrian Darts Open;29.04.2012
53;Wes Newton;89.31;Denis Ovens;86.34;"6;3";L16;Austrian Darts Open;29.04.2012
54;James Wade;85.99;Kim Huybrechts;74.97;"6;1";L16;Austrian Darts Open;29.04.2012
55;Raymond van Barneveld;94.26;Richie Burnett;87.18;"6;3";QF;Austrian Darts Open;29.04.2012
56;Justin Pipe;97.25;Joe Cullen;93.71;"6;4";QF;Austrian Darts Open;29.04.2012
57;Dave Chisnall;91.12;James Richardson;84.09;"6;3";QF;Austrian Darts Open;29.04.2012
58;James Wade;97.06;Wes Newton;91.56;"6;5";QF;Austrian Darts Open;29.04.2012
59;Justin Pipe;107.42;Raymond van Barneveld;93.27;"6;3";SF;Austrian Darts Open;29.04.2012
60;James Wade;88.37;Dave Chisnall;87.22;"6;2";SF;Austrian Darts Open;29.04.2012
61;Justin Pipe;99.64;James Wade;105.56;"6;3";Final;Austrian Darts Open;29.04.2012
62;Co Stompe;;Sam Hill;;"6;2";L64;German Darts Championship;22.06.2012
63;Reece Robinson;;Richie Burnett;;"6;2";L64;German Darts Championship;22.06.2012
64;Alan Tabern;;Leon De Geus;;"6;5";L64;German Darts Championship;22.06.2012
65;Colin Osborne;;Darren Johnson;;"6;2";L64;German Darts Championship;22.06.2012
66;Steve Brown;;Steve Evans;;"6;3";L64;German Darts Championship;22.06.2012
67;Andy Smith;;Mick Todd;;"6;5";L64;German Darts Championship;22.06.2012
68;Peter Wright;;Prakash Jiwa;;"6;5";L64;German Darts Championship;22.06.2012
69;Dave Ladley;;Denis Ovens;;"6;3";L64;German Darts Championship;22.06.2012
70;Vincent van der Voort;;Jim Walker;;"6;5";L64;German Darts Championship;22.06.2012
71;Colin Lloyd;;Alex Roy;;"6;5";L64;German Darts Championship;22.06.2012
72;Mickey Mansell;;Jamie Caven;;"6;4";L64;German Darts Championship;22.06.2012
73;Terry Jenkins;;Magnus Caris;;"6;3";L64;German Darts Championship;22.06.2012
74;Brendan Dolan;;Kevin Munch;;"6;4";L64;German Darts Championship;22.06.2012
75;Mark Webster;100.29;Darren Webster;91.73;"6;4";L64;German Darts Championship;22.06.2012
76;Paul Nicholson;104.34;Andree Welge;86.74;"6;3";L64;German Darts Championship;22.06.2012
77;John Part;97.31;Bernd Roith;82.64;"6;1";L64;German Darts Championship;22.06.2012
78;Simon Whitlock;91.9;Daniel Starkey;76.43;"6;0";L64;German Darts Championship;22.06.2012
79;Michael Rosenauer;92.75;Andy Hamilton;96.99;"6;4";L64;German Darts Championship;22.06.2012
80;Raymond van Barneveld;87.74;Mareno Michels;75.7;"6;1";L64;German Darts Championship;22.06.2012
81;Kim Huybrechts;98.46;Steve Beaton;89.82;"6;4";L64;German Darts Championship;22.06.2012
82;Phil Taylor;103.15;Jerry Hendriks;90.23;"6;4";L64;German Darts Championship;22.06.2012
83;Ronnie Baxter;95.48;Andy Jenkins;87.23;"6;5";L64;German Darts Championship;22.06.2012
84;James Hubbard;96.11;Adrian Lewis;97.49;"6;4";L64;German Darts Championship;22.06.2012
85;Mensur Suljovic;101.97;James Wade;91.09;"6;5";L64;German Darts Championship;22.06.2012
86;Wayne Jones;93.67;Zdravko Antunovic;96.9;"6;2";L64;German Darts Championship;22.06.2012
87;Mervyn King;97.66;Peter Hudson;94.71;"6;3";L64;German Darts Championship;22.06.2012
88;Dean Winstanley;97.28;Mark Walsh;97.16;"6;5";L64;German Darts Championship;22.06.2012
89;Wes Newton;93.05;William O'Connor;83.99;"6;4";L64;German Darts Championship;22.06.2012
90;Justin Pipe;102.82;Michael van Gerwen;98.28;"6;4";L64;German Darts Championship;22.06.2012
91;Dave Chisnall;100.89;Gareth Cousins;79.51;"6;3";L64;German Darts Championship;22.06.2012
92;Mervyn King;97.28;Wayne Jones;98.17;"6;3";L32;German Darts Championship;23.06.2012
93;Kevin Painter;93.86;Dave Ladley;82.63;"6;4";L32;German Darts Championship;23.06.2012
94;Mickey Mansell;94.6;Dean Winstanley;99.52;"6;5";L32;German Darts Championship;23.06.2012
95;Mark Webster;93.76;Colin Osborne;86.83;"6;4";L32;German Darts Championship;23.06.2012
96;Colin Lloyd;101.04;Paul Nicholson;94.74;"6;2";L32;German Darts Championship;23.06.2012
97;Wes Newton;97.99;Steve Brown;90.82;"6;2";L32;German Darts Championship;23.06.2012
98;Simon Whitlock;98.01;Brendan Dolan;99.68;"6;5";L32;German Darts Championship;23.06.2012
99;Ronnie Baxter;98.13;Vincent van der Voort;96.2;"6;5";L32;German Darts Championship;23.06.2012
100;Terry Jenkins;100.32;John Part;86.27;"6;2";L32;German Darts Championship;23.06.2012
101;Co Stompe;85.25;Michael Barnard;83.72;"6;5";L32;German Darts Championship;23.06.2012
102;Justin Pipe;91.98;Andy Smith;89.74;"6;4";L32;German Darts Championship;23.06.2012
103;James Hubbard;95.36;Peter Wright;93.5;"6;3";L32;German Darts Championship;23.06.2012
104;Dave Chisnall;108.35;Michael Rosenauer;81.13;"6;1";L32;German Darts Championship;23.06.2012
105;Phil Taylor;107.59;Reece Robinson;80.88;"6;2";L32;German Darts Championship;23.06.2012
106;Raymond van Barneveld;103.12;Alan Tabern;92.48;"6;3";L32;German Darts Championship;23.06.2012
107;Kim Huybrechts;96.64;Mensur Suljovic;95.83;"6;3";L32;German Darts Championship;23.06.2012
108;Phil Taylor;107.24;Colin Lloyd;101.27;"6;0";L16;German Darts Championship;23.06.2012
109;Raymond van Barneveld;96.85;Mark Webster;90.52;"6;3";L16;German Darts Championship;23.06.2012
110;Wes Newton;103.44;Mickey Mansell;95.27;"6;1";L16;German Darts Championship;23.06.2012
111;Justin Pipe;95.28;Co Stompe;83.49;"6;4";L16;German Darts Championship;23.06.2012
112;Mervyn King;94.37;James Hubbard;85.57;"6;4";L16;German Darts Championship;23.06.2012
113;Dave Chisnall;102.52;Terry Jenkins;101.51;"6;5";L16;German Darts Championship;23.06.2012
114;Simon Whitlock;106.83;Kevin Painter;97.05;"6;2";L16;German Darts Championship;23.06.2012
115;Kim Huybrechts;92.97;Ronnie Baxter;94.4;"6;4";L16;German Darts Championship;23.06.2012
116;Phil Taylor;100.3;Raymond van Barneveld;98.1;"6;5";QF;German Darts Championship;23.06.2012
117;Wes Newton;98.9;Justin Pipe;100.3;"6;3";QF;German Darts Championship;23.06.2012
118;Dave Chisnall;99.25;Mervyn King;93.31;"6;4";QF;German Darts Championship;23.06.2012
119;Simon Whitlock;91.5;Kim Huybrechts;91.13;"6;4";QF;German Darts Championship;23.06.2012
120;Phil Taylor;99.12;Wes Newton;98.42;"6;3";SF;German Darts Championship;23.06.2012
